,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
71,23,70000,Mortgage,5.0,Education,B,20000,12.21,0,0,4
73,34,25200,Rent,0.0,Venture,A,3000,7.66,0,0,8
75,30,57000,Mortgage,2.0,Venture,A,6000,7.51,0,0,8
76,27,102000,Mortgage,9.0,Personal,A,6000,7.49,0,0,9
77,25,31200,Mortgage,3.0,Medical,A,11200,5.42,0,0,2
78,35,32900,Rent,4.0,Homeimprovement,C,4800,13.23,1,1,9
79,32,58000,Rent,4.0,Personal,B,12000,11.26,0,0,10
81,30,67000,Mortgage,6.0,Homeimprovement,A,10000,6.99,0,0,6
82,26,80000,Mortgage,10.0,Personal,B,25000,10.62,0,0,4
83,25,42996,Own,1.0,Venture,D,7200,14.11,0,0,4
84,24,56000,Mortgage,2.0,Education,C,5250,12.87,0,0,2
85,39,18300,Rent,0.0,Education,D,1200,14.74,1,0,17
86,22,60000,Own,7.0,Venture,D,15000,16.49,0,1,2
87,21,41900,Rent,2.0,Venture,C,16000,12.84,1,1,2
88,22,32000,Rent,1.0,Education,D,5400,16.29,1,1,2
89,24,40944,Rent,0.0,Medical,B,8200,11.36,0,0,4
90,30,30000,Mortgage,3.0,Homeimprovement,B,4400,11.99,1,0,5
91,23,60000,Rent,0.0,Venture,A,8400,7.49,0,0,3
92,27,30000,Rent,5.0,Personal,B,4975,10.37,0,0,10
93,22,105000,Mortgage,6.0,Debtconsolidation,B,12800,11.83,0,0,3
94,27,67200,Rent,0.0,Personal,A,8000,6.03,0,0,5
97,35,95028,Rent,2.0,Homeimprovement,D,5000,14.42,1,1,6
98,22,48000,Rent,2.0,Debtconsolidation,A,9000,7.88,0,0,2
99,22,71004,Rent,6.0,Education,B,1800,11.12,0,0,4
100,26,47000,Rent,0.0,Personal,B,8000,10.0,0,0,4
101,26,75000,Own,10.0,Venture,B,7000,10.59,0,0,4
103,24,55152,Mortgage,8.0,Education,B,16000,11.49,0,0,4
104,25,52000,Rent,9.0,Medical,C,17000,12.98,1,1,2
105,34,89000,Rent,3.0,Homeimprovement,D,35000,18.25,1,0,8
106,26,80000,Rent,0.0,Homeimprovement,A,8000,5.99,0,0,2
107,36,24000,Mortgage,2.0,Debtconsolidation,A,1500,9.63,0,0,16
108,31,78000,Rent,1.0,Education,A,14000,9.63,0,0,5
109,23,65000,Rent,0.0,Education,B,10000,11.49,0,0,4
110,24,96408,Rent,1.0,Education,C,7700,12.53,0,1,4
111,29,48000,Rent,2.0,Personal,B,15000,11.36,1,0,8
112,31,201000,Mortgage,3.0,Personal,B,15000,11.12,0,0,5
113,25,42000,Mortgage,3.0,Homeimprovement,A,10000,5.42,0,0,2
114,21,55000,Mortgage,5.0,Education,A,10500,7.51,0,0,3
115,26,165000,Mortgage,10.0,Education,C,20000,13.22,0,1,4
117,41,33000,Rent,2.0,Medical,C,13750,13.79,1,1,11
118,29,89004,Mortgage,2.0,Education,D,4800,14.11,0,1,8
119,23,69000,Rent,7.0,Debtconsolidation,B,4800,10.75,0,0,2
120,23,86000,Rent,0.0,Venture,B,4800,9.62,0,0,3
121,48,32304,Mortgage,22.0,Medical,B,15000,9.63,0,0,17
122,49,74000,Mortgage,20.0,Debtconsolidation,E,12000,17.99,1,0,15
123,24,74400,Rent,1.0,Medical,A,3500,7.29,0,0,3
124,25,155000,Mortgage,9.0,Medical,A,18000,7.51,0,0,2
125,23,24000,Rent,0.0,Education,B,6250,12.53,0,0,3
127,22,62000,Mortgage,5.0,Medical,B,3000,8.7,0,0,3
128,28,30000,Rent,7.0,Venture,B,10000,10.38,1,0,5
129,22,88620,Mortgage,6.0,Debtconsolidation,A,24000,6.62,0,0,3
131,39,78000,Rent,3.0,Homeimprovement,D,25000,16.02,1,0,17
132,23,54000,Rent,8.0,Venture,B,12000,11.36,0,0,2
133,36,60000,Rent,0.0,Homeimprovement,C,15000,13.57,0,0,12
134,26,31200,Rent,8.0,Personal,A,5000,8.63,0,0,2
135,30,28800,Rent,1.0,Debtconsolidation,C,8000,12.73,0,0,10
136,24,60000,Rent,8.0,Personal,D,20000,13.87,1,0,4
137,21,40000,Rent,3.0,Education,D,7000,14.46,0,0,3
138,23,70000,Mortgage,7.0,Education,C,2000,13.49,0,1,2
139,38,17108,Mortgage,7.0,Education,A,4375,7.51,1,0,17
140,22,132000,Mortgage,3.0,Medical,A,10000,7.66,0,0,2
141,26,120000,Rent,11.0,Homeimprovement,C,10000,12.68,0,0,2
144,26,54011,Rent,10.0,Education,D,9500,16.29,0,0,2
145,43,62000,Mortgage,2.0,Education,B,20000,10.25,0,0,14
146,24,31776,Rent,6.0,Venture,A,4700,8.94,0,0,3
147,54,154000,Mortgage,1.0,Personal,B,12000,12.69,0,0,26
148,27,38500,Rent,0.0,Debtconsolidation,B,11500,12.42,0,0,9
149,26,40272,Mortgage,3.0,Education,B,10000,11.86,0,0,3
150,29,220000,Mortgage,13.0,Debtconsolidation,B,8500,10.37,0,0,5
151,32,60000,Rent,0.0,Personal,B,10000,12.42,0,0,9
152,22,12000,Rent,0.0,Education,A,6700,7.66,1,0,4
153,31,135000,Mortgage,12.0,Education,C,15000,13.85,0,1,9
154,24,59964,Mortgage,0.0,Debtconsolidation,B,1275,10.99,1,0,4
155,25,13440,Rent,3.0,Medical,A,6000,7.49,1,0,3
156,63,37000,Rent,24.0,Debtconsolidation,C,5450,15.96,1,0,22
157,24,103000,Mortgage,8.0,Homeimprovement,B,6400,10.37,0,0,3
158,26,66400,Rent,6.0,Medical,A,6000,7.29,0,0,4
159,23,60000,Rent,1.0,Debtconsolidation,A,9000,7.51,0,0,3
160,24,49920,Rent,0.0,Medical,C,7200,13.06,0,1,3
161,24,66000,Mortgage,8.0,Personal,D,15000,18.25,0,0,4
163,26,30000,Rent,4.0,Debtconsolidation,B,12000,11.11,1,0,3
164,31,46000,Rent,6.0,Medical,D,9600,14.46,1,1,5
165,24,43275,Rent,4.0,Medical,C,17000,13.47,1,0,3
166,36,28000,Mortgage,1.0,Venture,D,3075,15.62,1,1,12
167,41,58000,Rent,16.0,Personal,C,7500,11.03,0,1,16
168,29,50004,Mortgage,5.0,Personal,A,10000,5.99,0,0,5
169,22,76296,Mortgage,6.0,Venture,A,18000,7.88,0,0,3
170,25,85000,Rent,0.0,Medical,E,1000,7.51,0,0,17
171,26,87000,Mortgage,9.0,Debtconsolidation,C,25000,12.73,0,0,2
172,23,77004,Mortgage,6.0,Medical,A,12000,5.79,0,0,3
173,26,32500,Mortgage,8.0,Debtconsolidation,C,3000,13.22,0,1,3
174,32,33600,Own,0.0,Venture,D,8000,16.02,0,0,8
175,23,24996,Own,1.0,Education,B,8000,11.26,0,0,2
176,23,110000,Rent,3.0,Education,B,20000,12.42,0,0,3
177,23,44000,Rent,2.0,Medical,C,6000,14.22,0,1,4
178,22,81800,Mortgage,6.0,Education,A,2500,6.39,0,0,2
179,24,75000,Mortgage,9.0,Homeimprovement,A,11500,5.42,0,0,2
180,23,74000,Rent,7.0,Homeimprovement,A,7000,6.03,1,0,3
181,34,29004,Rent,9.0,Education,B,10000,11.83,1,0,5
182,24,45000,Rent,0.0,Debtconsolidation,D,4000,15.99,1,0,4
183,24,26000,Rent,3.0,Medical,B,7850,9.96,0,0,2
184,30,36996,Rent,5.0,Education,A,10000,8.9,0,0,6
185,25,95004,Mortgage,9.0,Education,A,18000,7.51,0,0,4
186,24,48000,Mortgage,7.0,Medical,A,12000,7.29,0,0,3
187,23,65000,Mortgage,7.0,Education,A,10500,6.03,0,0,4
189,24,37000,Rent,2.0,Medical,A,2000,5.42,0,0,4
193,24,72000,Mortgage,8.0,Education,C,14000,14.65,1,1,4
194,23,75000,Mortgage,7.0,Venture,B,15000,10.38,0,0,3
195,22,75000,Rent,6.0,Education,B,24000,12.69,1,0,4
196,29,80000,Rent,5.0,Medical,B,12500,11.71,0,0,7
197,42,54000,Rent,4.0,Debtconsolidation,C,16000,12.87,1,1,14
198,23,44000,Mortgage,0.0,Medical,A,5500,6.17,0,0,4
199,32,0,Rent,0.0,Medical,A,12000,14.54,0,0,2
200,24,35000,Mortgage,3.0,Medical,C,15000,14.27,0,0,2
203,23,90000,Rent,0.0,Debtconsolidation,C,8000,13.35,0,1,3
205,25,74800,Rent,2.0,Medical,B,5000,12.69,0,0,3
207,23,29376,Rent,3.0,Venture,A,5950,7.66,0,0,2
208,28,48000,Rent,5.0,Debtconsolidation,B,15000,11.99,1,0,10
209,22,22560,Rent,3.0,Personal,D,4200,15.2,1,1,4
211,30,71000,Rent,2.0,Homeimprovement,A,12000,8.9,0,0,8
212,21,45000,Rent,3.0,Medical,B,9600,12.18,0,0,3
213,30,45000,Rent,2.0,Education,A,13250,7.9,0,0,9
214,23,24000,Own,0.0,Education,A,7000,7.14,0,0,3
215,33,54000,Rent,15.0,Debtconsolidation,B,10000,10.99,0,0,8
216,34,41004,Mortgage,5.0,Homeimprovement,C,16000,11.78,0,0,5
217,25,120000,Rent,3.0,Personal,B,12000,9.01,0,0,2
218,43,72800,Mortgage,7.0,Homeimprovement,C,20000,12.84,0,1,12
219,31,68000,Mortgage,15.0,Personal,A,13600,7.88,0,0,9
220,25,70000,Mortgage,1.0,Debtconsolidation,C,11300,14.65,0,1,2
221,28,30422,Own,12.0,Personal,A,5000,8.49,0,0,9
222,32,32678,Mortgage,10.0,Debtconsolidation,C,3075,15.23,0,0,6
224,26,35000,Own,0.0,Personal,B,7200,11.11,0,0,4
225,22,49000,Mortgage,6.0,Venture,A,4000,8.94,0,0,2
226,23,90000,Rent,4.0,Venture,A,10000,7.51,0,0,2
228,24,48000,Rent,8.0,Medical,C,4000,5.99,0,0,6
230,26,127000,Mortgage,10.0,Education,A,6000,5.42,0,0,3
231,29,58000,Mortgage,8.0,Debtconsolidation,A,1800,6.76,0,0,8
232,32,25000,Rent,4.0,Medical,C,11700,12.68,1,1,10
233,24,65158,Mortgage,9.0,Venture,B,18000,10.25,0,0,4
234,31,72000,Rent,6.0,Debtconsolidation,B,21000,11.99,1,0,6
235,37,70000,Mortgage,3.0,Education,D,15000,15.2,0,0,15
236,26,20000,Mortgage,1.0,Personal,A,1500,7.74,0,0,3
238,25,46000,Mortgage,5.0,Education,B,23500,10.25,0,0,4
240,35,35000,Mortgage,5.0,Education,B,5600,11.49,0,0,6
241,24,60000,Own,9.0,Homeimprovement,B,15000,11.83,0,0,3
242,26,114000,Mortgage,10.0,Personal,A,14400,7.14,0,0,2
243,23,50000,Rent,4.0,Venture,B,18225,10.74,1,0,3
244,26,108000,Mortgage,4.0,Personal,A,9000,5.79,0,0,2
245,36,15000,Own,2.0,Personal,C,5000,13.92,1,1,15
247,24,74700,Mortgage,4.0,Venture,B,19750,11.12,0,0,3
248,29,115000,Mortgage,3.0,Medical,C,22000,15.23,0,1,7
249,24,58000,Rent,3.0,Venture,C,6000,12.87,0,1,2
250,21,18000,Rent,2.0,Personal,B,4500,10.38,1,0,2
251,25,191000,Mortgage,1.0,Medical,B,10000,12.53,0,0,4
252,24,145000,Mortgage,0.0,Personal,B,7000,10.99,0,0,2
253,53,28000,Rent,2.0,Debtconsolidation,C,7000,6.0,0,0,26
254,27,90000,Rent,4.0,Homeimprovement,A,19200,6.99,0,0,8
256,24,87996,Rent,8.0,Debtconsolidation,D,10000,14.84,1,1,2
257,36,72000,Own,5.0,Venture,B,6000,11.36,0,0,17
258,27,97000,Mortgage,11.0,Personal,B,3600,9.25,0,0,7
260,32,42000,Rent,4.0,Debtconsolidation,B,5000,10.08,0,0,9
261,24,39000,Rent,2.0,Debtconsolidation,E,16000,19.91,1,1,3
262,22,85000,Rent,0.0,Debtconsolidation,A,10000,7.66,0,0,3
263,24,56000,Rent,0.0,Venture,C,12000,14.26,0,1,2
264,30,270000,Mortgage,7.0,Homeimprovement,E,35000,19.69,0,0,8
265,41,55000,Rent,9.0,Debtconsolidation,B,12000,12.53,0,0,15
266,22,75000,Rent,0.0,Debtconsolidation,A,8000,5.99,0,0,3
267,25,50000,Rent,0.0,Homeimprovement,B,6400,9.91,0,0,4
268,26,75000,Mortgage,2.0,Venture,A,4000,5.79,0,0,3
269,22,46104,Rent,4.0,Education,A,8775,7.29,0,0,2
270,48,30000,Rent,0.0,Debtconsolidation,B,6000,12.42,1,0,12
271,28,20000,Rent,4.0,Personal,D,4000,14.59,0,0,9
273,23,68000,Mortgage,5.0,Medical,B,11500,9.99,0,0,2
274,31,46992,Rent,1.0,Medical,B,11000,11.14,0,0,9
275,23,39000,Rent,1.0,Personal,B,12000,10.99,1,0,2
276,30,52000,Mortgage,2.0,Personal,C,18500,10.91,0,0,7
277,26,59497,Own,2.0,Medical,E,7000,17.88,1,0,2
278,24,79050,Rent,2.0,Medical,B,2100,9.91,1,0,4
279,30,75000,Rent,2.0,Medical,C,6000,12.68,0,0,8
280,29,32997,Rent,7.0,Debtconsolidation,A,10000,5.79,0,0,7
282,22,24000,Rent,6.0,Medical,B,6000,10.65,0,0,4
283,22,22800,Rent,4.0,Education,C,5000,13.85,0,1,2
284,35,30000,Mortgage,11.0,Medical,B,11000,10.65,0,0,10
285,23,24000,Own,2.0,Education,D,8000,15.62,0,0,2
286,23,25200,Rent,7.0,Education,B,7200,11.86,1,0,4
287,33,75000,Mortgage,6.0,Venture,A,6000,7.51,0,0,5
288,21,45192,Mortgage,0.0,Personal,B,11700,10.74,0,0,2
290,28,56000,Own,10.0,Homeimprovement,C,12000,14.72,0,1,7
291,24,46809,Rent,4.0,Debtconsolidation,B,5000,12.18,0,0,4
292,26,84996,Rent,0.0,Medical,B,9000,11.26,0,0,2
293,32,52500,Mortgage,15.0,Debtconsolidation,A,9500,6.92,0,0,7
294,23,64000,Rent,7.0,Education,D,10325,12.92,1,1,2
295,46,105398,Mortgage,9.0,Homeimprovement,E,20700,17.43,0,0,12
296,25,25000,Rent,0.0,Medical,C,8500,12.53,1,1,2
297,27,35000,Rent,8.0,Personal,B,12000,9.91,1,0,8
298,33,56312,Rent,2.0,Homeimprovement,B,3000,11.71,0,0,9
299,30,144000,Mortgage,12.0,Personal,C,35000,12.68,0,0,8
300,32,30000,Mortgage,6.0,Venture,A,10000,7.51,0,0,9
301,34,33666,Rent,4.0,Debtconsolidation,D,8000,17.49,1,1,5
302,23,70000,Rent,1.0,Medical,B,17000,8.88,0,0,4
303,27,86875,Mortgage,5.0,Venture,B,8000,10.59,0,0,10
304,26,45000,Rent,3.0,Medical,B,1500,10.25,0,0,4
305,22,50000,Mortgage,6.0,Personal,A,7800,6.62,0,0,3
306,29,19200,Rent,1.0,Debtconsolidation,A,2000,5.99,1,0,6
307,32,300000,Mortgage,2.0,Medical,C,24000,12.87,0,0,10
308,28,115000,Mortgage,11.0,Homeimprovement,A,5000,7.51,0,0,8
309,29,63000,Rent,13.0,Medical,A,10000,7.49,0,0,5
310,25,28800,Rent,8.0,Education,B,6800,9.63,0,0,3
312,42,85000,Rent,3.0,Venture,C,5750,12.99,0,1,15
316,23,25000,Rent,3.0,Medical,B,5600,11.11,0,0,4
317,21,39600,Rent,3.0,Education,D,7000,14.96,0,1,2
318,27,56004,Mortgage,4.0,Personal,A,3100,9.32,0,0,7
319,22,48000,Rent,6.0,Medical,A,16500,8.9,1,0,4
320,24,72000,Rent,5.0,Homeimprovement,B,8000,10.0,0,0,2
321,25,42500,Rent,1.0,Debtconsolidation,B,12000,12.69,0,0,3
322,58,68000,Mortgage,1.0,Personal,B,8000,10.99,0,0,29
323,25,80000,Mortgage,9.0,Venture,E,4000,19.03,0,1,3
324,24,25000,Rent,0.0,Homeimprovement,B,8500,12.21,1,0,2
325,22,75000,Rent,2.0,Education,B,19600,12.42,0,0,4
326,36,62000,Rent,5.0,Debtconsolidation,A,9600,9.32,0,0,11
327,25,44000,Mortgage,4.0,Medical,D,5550,14.11,1,1,4
328,22,40000,Own,0.0,Education,B,6000,11.48,0,0,4
329,37,170004,Mortgage,1.0,Homeimprovement,E,25000,16.45,0,1,13
330,35,45000,Rent,3.0,Medical,A,5500,6.92,0,0,6
332,35,15000,Own,3.0,Medical,A,3700,9.32,1,0,5
333,37,780000,Rent,9.0,Venture,B,7500,12.18,0,0,13
334,26,47000,Rent,0.0,Homeimprovement,D,25000,15.28,1,1,2
335,27,14400,Rent,3.0,Education,F,2500,18.3,1,0,7
336,22,52800,Rent,3.0,Education,A,5600,7.29,0,0,3
337,37,25000,Rent,0.0,Venture,D,2775,15.65,1,1,14
338,38,35000,Mortgage,7.0,Debtconsolidation,A,13075,7.29,0,0,16
339,27,100000,Rent,0.0,Venture,A,18000,7.88,0,0,5
340,33,612000,Rent,3.0,Medical,C,5950,12.73,0,1,10
343,22,96000,Mortgage,3.0,Education,C,11400,13.04,0,1,2
345,25,28128,Rent,2.0,Education,D,7500,15.33,1,1,3
347,24,80000,Rent,5.0,Venture,B,10000,11.14,0,0,4
348,33,54000,Mortgage,7.0,Venture,C,7500,13.22,0,0,10
349,29,41004,Rent,6.0,Personal,B,12000,10.0,0,0,7
351,29,54000,Rent,0.0,Personal,D,10000,14.96,1,0,9
352,23,44400,Rent,2.0,Debtconsolidation,A,7100,6.99,1,0,3
353,36,130000,Rent,3.0,Debtconsolidation,B,14000,10.37,0,0,14
354,26,36000,Mortgage,8.0,Homeimprovement,C,6000,12.29,0,1,4
355,31,34800,Mortgage,3.0,Venture,D,2000,15.65,0,0,6
356,31,70000,Mortgage,11.0,Education,A,2000,7.4,0,0,7
357,28,87950,Mortgage,12.0,Personal,B,24000,10.75,0,0,7
358,38,18000,Rent,4.0,Personal,C,3000,13.23,1,0,17
359,22,110000,Mortgage,2.0,Venture,B,9000,11.11,0,0,4
360,45,38268,Mortgage,14.0,Personal,B,8400,12.18,0,0,11
361,22,75000,Mortgage,4.0,Education,C,15000,13.61,0,0,4
362,30,43200,Mortgage,14.0,Personal,B,5000,11.36,0,0,9
363,26,37000,Rent,2.0,Venture,A,2500,7.14,0,0,3
364,27,72000,Rent,6.0,Venture,A,20000,8.9,0,0,5
365,27,150000,Mortgage,1.0,Venture,B,12000,11.89,0,0,5
366,23,46000,Rent,1.0,Education,A,7000,7.4,0,0,4
367,22,95000,Mortgage,1.0,Education,C,7200,12.23,0,1,4
368,31,50000,Mortgage,5.0,Venture,A,2000,6.39,0,0,7
370,22,63800,Mortgage,7.0,Debtconsolidation,B,25000,11.36,0,0,4
371,23,87550,Rent,7.0,Medical,A,18000,7.51,1,0,3
372,25,47000,Rent,9.0,Homeimprovement,D,19750,15.7,1,0,4
373,24,78000,Rent,1.0,Debtconsolidation,B,3500,11.83,1,0,3
374,24,30000,Own,7.0,Homeimprovement,C,10000,12.61,0,1,2
377,22,45000,Rent,6.0,Debtconsolidation,B,16000,10.59,1,0,4
378,23,48000,Rent,3.0,Debtconsolidation,A,8000,8.49,0,0,2
379,41,90000,Mortgage,4.0,Venture,C,15000,13.49,0,0,15
380,23,115000,Mortgage,3.0,Education,B,10000,10.59,0,0,2
381,39,23500,Rent,14.0,Personal,D,5850,15.2,0,0,12
382,24,57600,Rent,8.0,Education,C,2500,14.72,0,1,3
383,27,44630,Own,10.0,Medical,B,10825,10.99,0,0,8
384,24,30000,Rent,8.0,Medical,B,3000,11.86,0,0,4
386,27,28800,Rent,0.0,Education,A,3000,7.88,1,0,7
387,27,22800,Mortgage,11.0,Medical,B,2500,10.99,0,0,10
388,22,44172,Rent,4.0,Personal,B,15000,10.37,1,0,3
389,24,85000,Mortgage,8.0,Education,B,20000,11.11,0,0,4
390,21,57192,Mortgage,0.0,Medical,A,8000,7.49,0,0,3
391,26,53000,Own,8.0,Personal,B,16000,10.25,0,0,2
392,26,40000,Rent,1.0,Medical,C,5000,14.26,0,1,2
394,24,89000,Own,7.0,Homeimprovement,D,15000,17.58,0,0,4
396,25,62050,Mortgage,4.0,Medical,D,5400,15.21,1,1,3
397,23,75000,Own,5.0,Venture,A,10000,6.92,0,0,2
398,22,84000,Mortgage,6.0,Personal,B,3900,11.71,0,0,4
399,36,37000,Mortgage,5.0,Medical,E,3000,18.39,1,1,15
401,26,41400,Rent,5.0,Medical,B,7300,9.45,0,0,2
402,33,25200,Rent,3.0,Medical,E,1600,16.69,1,0,6
403,29,27840,Rent,0.0,Personal,E,8575,19.42,1,0,8
404,23,30000,Rent,7.0,Education,B,3600,9.7,0,0,3
405,35,98320,Mortgage,15.0,Personal,B,10425,11.49,0,0,9
406,37,48000,Own,8.0,Personal,A,2500,6.03,0,0,11
407,27,146000,Mortgage,5.0,Medical,A,2500,8.49,0,0,5
408,25,144996,Mortgage,2.0,Education,E,25000,16.35,0,1,2
409,25,23387,Rent,2.0,Personal,A,10000,7.51,1,0,4
410,22,35000,Rent,2.0,Venture,C,4500,14.27,0,1,2
411,28,38000,Mortgage,5.0,Venture,A,8400,7.51,0,0,7
412,46,30000,Rent,15.0,Debtconsolidation,C,10000,13.49,1,0,12
413,28,50000,Mortgage,3.0,Debtconsolidation,A,5000,7.74,0,0,6
415,22,54000,Rent,6.0,Education,C,10000,13.79,1,0,4
416,25,35004,Rent,3.0,Personal,A,5000,8.94,0,0,2
417,24,31200,Rent,3.0,Personal,C,2000,14.65,0,1,2
418,39,65000,Mortgage,17.0,Education,A,15000,7.9,0,0,14
419,23,65000,Rent,0.0,Medical,A,15000,7.88,0,0,3
420,22,50000,Own,6.0,Venture,A,6400,6.92,0,0,4
421,24,95000,Rent,3.0,Debtconsolidation,A,18000,8.49,0,0,4
422,21,18000,Rent,1.0,Personal,A,3200,8.49,1,0,3
423,32,44500,Own,3.0,Education,A,15000,7.51,0,0,5
424,28,61000,Rent,9.0,Personal,B,25000,9.91,1,0,7
425,24,38000,Rent,0.0,Venture,B,12000,11.89,1,0,3
426,23,48000,Rent,0.0,Medical,D,20000,14.96,1,0,3
427,24,80004,Own,3.0,Homeimprovement,C,2425,15.27,0,1,4
428,27,75000,Rent,2.0,Education,C,8000,13.49,0,1,5
429,25,35500,Rent,5.0,Medical,B,4000,10.99,0,0,3
430,26,65000,Rent,0.0,Homeimprovement,C,4800,13.72,0,0,2
431,33,48000,Mortgage,2.0,Homeimprovement,A,7500,8.0,0,0,10
432,22,30000,Own,5.0,Personal,B,3000,10.36,0,0,2
433,30,62000,Rent,14.0,Medical,B,12000,11.71,0,0,9
436,25,44000,Rent,9.0,Medical,C,10000,12.68,0,1,4
437,41,24000,Own,3.0,Education,C,4500,12.99,0,1,14
438,25,84000,Mortgage,4.0,Debtconsolidation,A,8500,6.62,0,0,4
439,26,60000,Mortgage,10.0,Personal,A,1200,7.4,0,0,4
440,21,30000,Rent,2.0,Medical,A,4150,6.76,0,0,3
441,31,125000,Own,5.0,Medical,A,30000,7.51,0,0,9
442,24,37004,Rent,2.0,Venture,D,5500,15.05,1,0,4
443,43,350000,Mortgage,3.0,Personal,B,18000,11.49,0,0,14
444,24,70000,Mortgage,8.0,Medical,B,1600,10.99,0,0,3
446,25,65000,Mortgage,9.0,Personal,A,5000,7.29,0,0,4
447,39,20400,Rent,3.0,Medical,C,6000,15.27,0,1,13
